lcns_no,addr
19920397027,강원특별자치도 평창군 평창읍 백오로 73
19920417213,충청북도 청주시 상당구 영운로 43(영운동)
19920471053,충청남도 서천군 장항읍 장항로 176
19920526027,전남광주통합특별시 함평군 함평읍 시장길 42
19920538187,경상북도 경주시 보문로 338(신평동)
19920563021,경상북도 의성군 봉양면 경북대로 4942
19920569052,경상북도 성주군 성주읍 성주읍1길 7
19920595165,"경상남도 창원시 마산합포구 월영동로 7(해운동,킴즈타운 104호)"
19930025484,"서울특별시 종로구 통일로12길 10-18(행촌동,지상1층)"
19930025490,서울특별시 종로구 통일로12길 10-18(지상1층 행촌동)
19930025892,서울특별시 종로구 율곡로17길 7-38(1층 이화동)
19930029911,서울특별시 중구 정동길 2-1(정동)
19930091527,서울특별시 동작구 상도로 306(1층 상도동)
19930094193,서울특별시 관악구 신림로65길 37(신림동)
19930105760,서울특별시 강남구 테헤란로84길 25(대치동)
19930106341,서울특별시 강남구 테헤란로21길 8(지상2층 역삼동)
19930106490,서울특별시 강남구 봉은사로 130(역삼동)
19930106590,"서울특별시 강남구 학동로28길 5(논현동,지상1,2층)"
19930106783,서울특별시 강남구 테헤란로84길 25(대치동)
19930115391,"서울특별시 송파구 올림픽로12길 8(지상1,2층 잠실동)"
19930126026,부산광역시 중구 복병산길 6(대청동1가)
19930129313,부산광역시 동구 진성로 10-5(수정동)
19930156057,부산광역시 기장군 기장읍 차성동로154번길 28(B상가동 전원그린맨션)
19930158035,대구광역시 중구 교동길 27-8(3층 교동)
19930168018,대구광역시 북구 원대로 91(노원동1가)
19930202058,"인천광역시 부평구 부평대로 114(1층 부평동, 105, 106호)"
19930281023,"경기도 성남시 분당구 내정로113번길 4(정자동,판교시장 107호)"
19930304222,경기도 광명시 양지로 19(어반브릭스 B동 163호 일직동)
19930316383,경기도 안산시 단원구 당곡로 33(프라움시티 216호 고잔동)
19930338130,"경기도 시흥시 정왕천로 407-1(지하1층, 1층 정왕동)"
19930348112,"경기도 용인시 처인구 원삼면 보개원삼로1534번길 40(1,2층)"
19930355096,경기도 파주시 문산읍 사임당로 113
19930370068,경기도 양주시 평화로 1481(덕계동)
19930375050,경기도 여주시 세종로79번길 6-17
19930394047,강원특별자치도 홍천군 홍천읍 남산강변로 32
19930396016,강원특별자치도 영월군 영월읍 중앙로 93-1(1층)
19930396035,강원특별자치도 영월군 영월읍 단종로16번길 40
19930429072,충청북도 청주시 청원구 주성로 173-19(청주성모병원장례식장 주중동)
19930429086,충청북도 청주시 청원구 사뜸로 34(율량동)
19930452083,충청남도 천안시 서북구 직산읍 봉주로 38
19930524034,전남광주통합특별시 영암군 영암읍 중앙로 39-1
19930538388,경상북도 경주시 봉황로 79(서부동)
19930568015,경상북도 고령군 성산면 성산로 946-5
19930597278,경상남도 창원시 마산회원구 내서읍 호계안길 91(마동 1층 2호 서광2차아파트)
19930601008,경상남도 진주시 문산읍 남해고속도로 195
19930601282,경상남도 진주시 금산면 금산로 121(외2필지1층일부)
19930621091,경상남도 하동군 하동읍 경서대로 106
19940025003,"서울특별시 종로구 삼봉로 100(공평동,지상2층)"
19940025792,"서울특별시 종로구 대학로11길 32(명륜4가,지상1층)"
19940025845,서울특별시 종로구 인사동길 14(인사동)
19940029264,서울특별시 중구 소공로 106(소공동)
19940029568,"서울특별시 중구 서소문로 115(서소문동, 한산빌딩 지하아케이드2호)"
19940033458,"서울특별시 용산구 한강대로 92(한강로2가,지하1층)"
19940059359,"서울특별시 노원구 동일로218길 25(상계동, 석창빌딩)"
19940076683,서울특별시 강서구 강서로5나길 16(1층 화곡동)
19940107033,서울특별시 강남구 논현로85길 52(역삼 푸르지오 시티 지하1층 B104호 역삼동)
19940115755,서울특별시 송파구 올림픽로43길 88(풍납동)
19940115759,"서울특별시 송파구 올림픽로43길 88(풍납동,신관 지하1층)"
19940141124,"부산광역시 해운대구 재반로 188(반여동, 지상1층)"
19940181017,대구광역시 달서구 월배로83길 8(송현동)
19940199475,인천광역시 남동구 용천로168번길 5(1층 간석동)
19940216035,"전남광주통합특별시 서구 상무대로 1104-26(농성동,외 1필지649번지 6호 나동)"
19940221166,"전남광주통합특별시 북구 용전마을길 28(용전동,1층)"
19940252079,울산광역시 동구 방어진순환도로 875(전하동)
19940292312,경기도 안양시 동안구 귀인로190번길 152(평촌동)
19940348238,경기도 용인시 처인구 주북로 66-16(고림동)
19940348239,경기도 용인시 처인구 주북로94번길 30-1(고림동)
19940360029,"경기도 안성시 양성면 만세로 859(다동 2,3층)"
19940360118,경기도 안성시 원곡면 경부고속도로 365
19940391002,강원특별자치도 태백시 연지로 24(1층 황지동)
19940394112,강원특별자치도 홍천군 서면 한치골길 지하 262
19940441061,충청북도 영동군 영동읍 계산로1길 10
19940467072,충청남도 금산군 금산읍 인삼약초로 33
19940531049,전남광주통합특별시 신안군 도초면 서남문로 1511
19940534313,경상북도 포항시 남구 해동로84번길 5(해도동)
19940538783,"경상북도 경주시 황성로1번길 27-1(107, 110호 황성동)"
19940548059,"경상북도 구미시 신시로16길 49(송정동, 1층)"
19940566022,경상북도 영덕군 영해면 예주2길 41-4
19940571037,경상북도 예천군 보문면 산단길 6-9
19940589298,경상남도 창원시 의창구 원이대로261번길 16-20(봉곡동)
19940592188,"경상남도 창원시 성산구 중앙대로 69(중앙동,1층)"
19940612330,"경상남도 거제시 장평로6길 25(상가동 107호 장평동, 대한아파트)"
19940623040,경상남도 함양군 함양읍 용평3길 25-1
19940631181,제주특별자치도 서귀포시 성산읍 일출로 264-6
19950033280,"서울특별시 용산구 이촌로 210(이촌동,지상2층)"
19950039185,서울특별시 광진구 면목로 1(1층 군자동)
19950056675,서울특별시 도봉구 방학로 204(방학동)
19950066018,서울특별시 서대문구 연세로 50(연세대학교 동문회관 3층 신촌동)
19950069699,"서울특별시 마포구 연희로 3(동교동,1층)"
19950076061,서울특별시 강서구 양천로59길 42(태성빌딩 1층 가양동)
19950106003,서울특별시 강남구 일원로9길 8(일원동)
19950106799,서울특별시 강남구 언주로 640(논현동)
19950106891,서울특별시 강남구 테헤란로 508(대치동)
19950115250,"서울특별시 송파구 올림픽로 240(지하1층 잠실동,  롯데월드 5-39)"
19950131587,인천광역시 미추홀구 연남로 35(롯데백화점 6층 관교동)
19950131591,부산광역시 부산진구 가야대로 772(지하2층 부전동)
19950134523,부산광역시 동래구 충렬사로 81(국제파크상가동 106호 명장동)
19950139061,부산광역시 북구 효열로 69(금곡동)
19950144301,부산광역시 사하구 괴정로 95-1(당리동)
19950150329,부산광역시 연제구 안연로8번길 11(1층 연산동)
19950160019,대구광역시 동구 아양로9길 5(신암동)
19950181090,대구광역시 달서구 상화북로43길 74(상인동)
19950181163,대구광역시 달서구 와룡로 79(2층 본리동)
19950188240,"대구광역시 달성군 현풍읍 테크노중앙대로 243(타임스퀘어 124,125호)"
19950197116,인천광역시 연수구 인권로 26(옥련동)
19950202334,인천광역시 부평구 신트리로 44(부평동)
19950216153,"전남광주통합특별시 서구 무진대로 932(지하1층 광천동, 신세계백화점)"
19950216155,"전남광주통합특별시 서구 무진대로 932(지하1층 광천동, 신세계백화점)"
19950236334,대전광역시 서구 도산로 235(1층 일부호 내동)
19950247024,울산광역시 남구 번영로 36(1층 101호 야음동)
19950252045,울산광역시 동구 대송로 71-1(일산동)
19950254122,울산광역시 북구 호계로 313(상가동 113호 신천동)
19950304126,경기도 광명시 하안로287번길 17(영보빌딩 하안동)
19950313319,경기도 안산시 상록구 반석로 9(신안아2단지상가 114호 본오동)
19950332186,경기도 남양주시 진접읍 봉현로 32-1(외1필지)
19950348112,"경기도 용인시 처인구 포곡읍 에버랜드로 199(외20필지C01동,E04동)"
19950355166,"경기도 파주시 문화로 105(금촌동,1층)"
19950362172,경기도 김포시 월곶면 김포대로2801번길 219
19950376094,경기도 연천군 전곡읍 전곡로144번길 5(1층)
19950383777,강원특별자치도 원주시 문막읍 원문로 1234(문막하휴게소가동)
19950394159,강원특별자치도 홍천군 서면 한치골길 262(오크동1층MARKET LOCUS)
19950402017,강원특별자치도 인제군 인제읍 인제로206번길 8
19950425067,충청북도 청주시 흥덕구 성봉로 293(1층 복대동)
19950467025,충청남도 금산군 금산읍 금산로 1500
19950472030,충청남도 청양군 대치면 한티고개길 11
19950484045,"전북특별자치도 군산시 대학로 316(나운동, 외4필지 시민프라자 112.113호)"
19950490087,"전북특별자치도 정읍시 천변로 308(상가동 102,103호 시기동)"
19950506024,전남광주통합특별시 여수시 문수로 94(문수동)
19950506241,전남광주통합특별시 여수시 쌍봉로 361(둔덕동)
19950520107,전남광주통합특별시 화순군 도곡면 천태로 1000-151
19950534304,경상북도 포항시 남구 오천읍 충무로 47
19950536170,경상북도 포항시 북구 흥해읍 남미질로 7-1(1층)
19950538452,경상북도 경주시 엑스포로 45(신평동)
19950548331,경상북도 구미시 상사서로 92(1층 상모동)
19950554181,경상북도 영주시 장수면 갈미로 62
19950556070,경상북도 상주시 상산로 347-2(무양동)
19950567025,경상북도 청도군 청도읍 고수동1길 8-5
19950573004,경상북도 울진군 북면 덕구온천로 924
19950573013,경상북도 울진군 온정면 백암온천로 1281
19960029072,서울특별시 중구 명동9길 43(을지로2가)
19960029886,서울특별시 중구 명동3길 36(3층 을지로2가)
19960033266,경기도 포천시 삼육사로 2220(가동 1층 선단동)
19960050373,서울특별시 성북구 돌곶이로 191(1층 장위동)
19960066690,서울특별시 서대문구 연세로7안길 35(창천동)
19960069464,"서울특별시 마포구 월드컵북로44길 76-10(상암동,101호)"
19960080645,서울특별시 구로구 시흥대로 563(구로동)
19960094533,"서울특별시 관악구 신림로 313(2,3층 신림동)"
19960098519,서울특별시 서초구 반포대로 22(서초동)
19960098813,"서울특별시 서초구 반포대로7길 31(서초동,지상1층)"
19960098864,서울특별시 서초구 강남대로16길 14-2(양재동)
19960105432,서울특별시 강남구 도곡로 447(대치동)
19960105809,서울특별시 강남구 봉은사로37길 5(태양빌딩 지하1층 논현동)
19960106077,"서울특별시 강남구 영동대로85길 17-5(지하1,지상1~3층 대치동)"
19960114744,서울특별시 송파구 올림픽로 505(유원빌딩 1층 풍납동)
19960129029,부산광역시 동구 좌천남로 25(좌천동)
19960129214,부산광역시 동구 중앙대로 207-1(초량동)
19960154031,부산광역시 사상구 삼덕로46번길 108(삼락동)
19960154061,부산광역시 사상구 백양대로 937(모라동)
19960197016,"인천광역시 연수구 앵고개로264번길 10-3(동춘동, 동서빌딩 101,102호)"
19960202087,인천광역시 부평구 열우물로49번길 28(십정동)
19960202159,인천광역시 부평구 부평문화로80번길 39(부평동)
19960219020,"전남광주통합특별시 남구 봉선로52번길 20(1,2층 주월동)"
19960236137,대전광역시 서구 탄방로7번길 86(1층 탄방동)
19960242048,대전광역시 대덕구 한남로 35(오정동)
19960247020,"울산광역시 남구 문수로321번길 1(옥동,번지지상 1층)"
19960273117,경기도 수원시 권선구 권중로76번길 16(권선동)
19960281180,"경기도 성남시 분당구 분당로53번길 15(서현동,산호트윈프라자 207,208호)"
19960297792,"경기도 부천시 원미구 조마루로297번길 61(1층 101, 102호 중동)"
19960306280,경기도 평택시 세교상가2길 23(1층 세교동)
19960342162,경기도 군포시 수리산로203번안길 10(산본동)
19960348070,경기도 용인시 처인구 포곡읍 에버랜드로 199
19960348094,경기도 용인시 처인구 포곡읍 에버랜드로 199
19960348137,경기도 용인시 처인구 포곡읍 에버랜드로 199
19960348139,"경기도 용인시 처인구 포곡읍 에버랜드로 199(에버랜드 본관동 3,5층 일부)"
19960348141,경기도 용인시 처인구 포곡읍 에버랜드로 199
19960348206,"경기도 용인시 처인구 이동읍 화산로 239(외458필지, 클럽하우스동)"
19960348296,경기도 용인시 처인구 포곡읍 에버랜드로 199
19960362200,"경기도 김포시 중봉1로 54(1층 북변동, 전체)"
19960364311,경기도 화성시 만세구 팔탄면 서해안고속도로 301-1
19960364312,경기도 화성시 만세구 팔탄면 서해안고속도로 302
