addr,lat,lng
강원특별자치도 강릉시 남부로17번길 17 (내곡동),37.741185,128.881722
"강원특별자치도 강릉시 남부로17번길 17, 1층 (내곡동)",37.741185,128.881722
강원특별자치도 강릉시 남부로17번길 17-1 1층,37.741340,128.881711
강원특별자치도 강릉시 남부로17번길 23,37.742056,128.881406
강원특별자치도 강릉시 남부로17번길 23 (내곡동),37.742056,128.881406
강원특별자치도 강릉시 남부로17번길 25 (내곡동),37.742274,128.881521
강원특별자치도 강릉시 남부로17번길 28,37.742279,128.882291
강원특별자치도 강릉시 남부로17번길 33 (내곡동),37.742728,128.881923
"강원특별자치도 강릉시 남부로17번길 35, 1층 (내곡동)",37.742824,128.882051
강원특별자치도 강릉시 남부로17번길 39 (내곡동),37.743185,128.882195
강원특별자치도 강릉시 남부로212번길 13 (노암동),37.742969,128.903982
강원특별자치도 강릉시 남산초교길 15-2 (내곡동),37.745838,128.890674
강원특별자치도 강릉시 남산초교길11번길 11 (내곡동),37.746860,128.891254
강원특별자치도 강릉시 노가니길 5-1 (노암동),37.749541,128.899906
강원특별자치도 강릉시 노암길42번길 24,37.745525,128.901893
강원특별자치도 강릉시 노암길42번길 24 (노암동),37.745525,128.901893
강원특별자치도 강릉시 노암등길 58 1층,37.743816,128.900302
강원특별자치도 강릉시 노암등길 92,37.740601,128.900817
강원특별자치도 강릉시 동부시장길 21(옥천동),37.759853,128.900320
강원특별자치도 강릉시 동부시장길 45 (옥천동),37.762153,128.901205
강원특별자치도 강릉시 동부시장길 9 (옥천동),37.758787,128.899946
강원특별자치도 강릉시 명륜로 59,37.765044,128.897819
강원특별자치도 강릉시 명륜로 95-7(교동),37.768331,128.899492
강원특별자치도 강릉시 명륜로121번길 10,37.769732,128.901839
강원특별자치도 강릉시 명륜로121번길 10 (포남동),37.769732,128.901839
강원특별자치도 강릉시 문화의길 9(임당동),37.754833,128.894408
강원특별자치도 강릉시 문화의길7번길 4(임당동),37.754753,128.894179
강원특별자치도 강릉시 문화의길7번길 8,37.754548,128.894154
강원특별자치도 강릉시 범일로 364,37.721611,128.882353
강원특별자치도 강릉시 범일로 457,37.729052,128.878440
