name,addr,kind
웨인스베이글스 강남역점,서울 서초구 효령로77길 34 1층 115호,카페
샌드카베,서울 성동구 서울숲4길 22-18 1층 카페,카페
계월,서울 성동구 성덕정3길 8,음식점
사만 커피 로스터스,서울 성북구 성북로6길 2-2,카페
유천냉면 본점,서울 송파구 강동대로3길 22,음식점
쿠치나디까사 문정점,"서울 송파구 송파대로 201 송파테라타워2 A동 1층 A-110, 111호",음식점
임꺽정부대찌개,서울 양천구 목동동로12길 27,음식점
락희안 목동직영점,"서울 양천구 오목로 330 2, 3층",음식점
월화갈비 문래본점,서울 영등포구 경인로79길 17 1층,음식점
원조마늘곱창 문래본점,서울 영등포구 경인로79길 17-1 1층,음식점
메밀단편 여의도점,서울 영등포구 국제금융로2길 32 201호,음식점
구복만두,서울 용산구 두텁바위로 7,음식점
에그앤플라워,서울 용산구 신흥로26길 35,음식점
중국가정식 장강중류,서울 용산구 이태원로 143-30 2층 중국가정식 장강중류,음식점
롱브르378,서울 용산구 한강대로10길 11-54 롱브르378,카페
만포면옥 본점,서울 은평구 연서로 171,음식점
포옹싸,서울 은평구 진관2로 29-21 202호,음식점
황생가칼국수,서울 종로구 북촌로5길 78,음식점
신안촌 본점,서울 종로구 사직로12길 8,음식점
이문설렁탕,서울 종로구 우정국로 38-13,음식점
덕수궁 리에제와플,서울 중구 덕수궁길 5,카페
원조한치,서울 중구 명동7길 14-5 명동 맥도날드 하이약국 골목 안,음식점
하동관 명동본점,서울 중구 명동9길 12,음식점
유림면,서울 중구 서소문로 139-1,음식점
서령 본점,서울 중구 소월로 10,음식점
남포면옥,서울 중구 을지로3길 24,음식점
펠트커피 청계천점,서울 중구 청계천로 14,카페
미스터빈커피로스터스,"세종 고운서길 13 고운동 108호, 109호",카페
힛유어텅,세종 새롬로 56 새뜸마을14단지 1419동 상가 1층 106호 힛유어텅,음식점
야호래,세종 전동면 고산길 71 야호래,음식점
1972 송은정 보리밥 본점,세종 조치원읍 세종로 2427 1층,음식점
사이먼스테이크 롯데백화점 울산점,울산 남구 삼산로 288,음식점
본여우&본정,울산 남구 왕생로120번길 5,음식점
멋진녀석들본점,울산 북구 명촌15길 5-10,음식점
로바타요지 성남점,울산 중구 학성로 73,BAR
아뚜드스윗,인천 강화군 강화읍 강화대로 456-14 1층,카페
호카츠,인천 검단구 서곶로 788,음식점
정서진메밀면옥,인천 검단구 아라로51번길 3,음식점
계양옥 계산본점,인천 계양구 오조산로45번길 12 1층,음식점
카이린펑 청라 본점,인천 서해구 청라커낼로 252,음식점
커피화 로스터스 본점,"인천 연수구 송도과학로27번길 70 롯데 캐슬 상가 107호, 108호 커피화 로스터스 본점",카페
디벨로핑룸 연수점,인천 연수구 청명로 26 1층,카페
신포순대 신포시장본점,인천 제물포구 제물량로166번길 33,음식점
수완지구폼,전남광주 광산구 수완로10번길 94,음식점
올데이우동 광주첨단점,전남광주 광산구 임방울대로800번길 71,음식점
송현불고기,전남광주 나주시 건재로 193,음식점
원조대나무국수,전남광주 담양군 담양읍 객사2길 15-71,음식점
미미원,전남광주 동구 백서로 218,음식점
일로일로,전남광주 무안군 일로읍 삼일로 613 카페 일로일로,카페
소이연남 광주상무점,전남광주 서구 운천로 261 어반피크 상무 1층 127호,음식점
언베일커피스탠드,전남광주 순천시 해룡면 신대4길 4-25 1층,카페
경원이네,전남광주 여수시 문수3길 6-3,음식점
